date,time,close,low,sma,entry_signal,exit_signal,account_price,account_balance,position_value,total_value,profit_loss,cumulative_return,drawdown,active_trades
2023-06-14,2023-06-14,25128.6,24820.56,26100.88400000003,0,-1,25128.6,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-15,2023-06-15,25598.49,24800.0,26087.91300000003,0,-1,25598.49,11805.58,0.0,11805.58,1805.58,18.06,14.83,0.0
2023-06-16,2023-06-16,26345.0,25175.56,25999.405000000028,1,0,26345.0,8263.91,3541.32,11805.23,1805.23,18.05,14.83,1.0
2023-06-17,2023-06-17,26516.99,26181.0,26017.170000000027,1,0,26516.99,5784.73,6043.36,11828.1,1828.1,18.28,14.67,2.0
2023-06-18,2023-06-18,26339.97,26255.85,26001.306000000026,1,0,26339.97,4049.31,7738.27,11787.58,1787.58,17.88,14.96,3.0
2023-06-19,2023-06-19,26844.35,26256.61,26037.96000000003,1,0,26844.35,2834.52,9101.12,11935.64,1935.64,19.36,13.89,4.0
2023-06-20,2023-06-20,28307.99,26652.0,26284.638000000028,1,0,28307.99,1984.16,10447.61,12431.77,2431.77,24.32,10.31,5.0
2023-06-21,2023-06-21,29993.89,28257.99,26691.47200000003,1,0,29993.89,1388.91,11665.01,13053.93,3053.93,30.54,5.82,6.0
2023-06-22,2023-06-22,29884.92,29525.61,27089.44500000003,1,0,29884.92,972.24,12039.27,13011.51,3011.51,30.12,6.13,7.0
2023-06-23,2023-06-23,30688.5,29800.0,27564.87000000003,1,0,30688.5,680.57,12654.63,13335.2,3335.2,33.35,3.79,8.0
2023-06-24,2023-06-24,30527.43,30250.0,28104.753000000033,1,0,30527.43,476.4,12792.37,13268.76,3268.76,32.69,4.27,9.0
2023-06-25,2023-06-25,30462.66,30277.49,28591.17000000003,1,0,30462.66,333.48,12908.13,13241.61,3241.61,32.42,4.47,10.0
2023-06-26,2023-06-26,30267.99,29930.0,28983.46900000003,1,0,30267.99,333.48,12825.64,13159.12,3159.12,31.59,5.06,10.0
2023-06-27,2023-06-27,30692.44,30226.17,29401.014000000032,1,0,30692.44,333.48,13005.5,13338.97,3338.97,33.39,3.77,10.0
2023-06-28,2023-06-28,30077.41,29858.8,29774.758000000023,1,0,30077.41,333.48,12744.89,13078.36,3078.36,30.78,5.65,10.0
2023-06-29,2023-06-29,30447.31,30049.98,30135.054000000026,1,0,30447.31,333.48,12901.63,13235.1,3235.1,32.35,4.52,10.0
2023-06-30,2023-06-30,30472.0,29500.0,30351.455000000027,1,0,30472.0,333.48,12912.09,13245.57,3245.57,32.46,4.44,10.0
2023-07-01,2023-07-01,30585.9,30320.57,30410.656000000028,1,0,30585.9,333.48,12960.35,13293.83,3293.83,32.94,4.09,10.0
2023-07-02,2023-07-02,30617.03,30155.0,30483.867000000027,1,0,30617.03,333.48,12973.54,13307.02,3307.02,33.07,4.0,10.0
