time,close,low
2023-07-24,29176.5,28861.9
2023-07-25,29228.91,29047.65
2023-07-26,29351.96,29096.94
2023-07-27,29222.78,29083.85
2023-07-28,29314.14,29123.12
2023-07-29,29352.9,29256.18
2023-07-30,29281.09,29033.24
2023-07-31,29232.25,29101.8
2023-08-01,29705.99,28585.7
2023-08-02,29186.01,28927.5
2023-08-03,29193.64,28968.0
2023-08-04,29113.99,28807.54
2023-08-05,29072.13,28978.64
2023-08-06,29088.42,28991.88
2023-08-07,29211.06,28701.03
2023-08-08,29770.42,29146.45
2023-08-09,29581.99,29376.67
2023-08-10,29455.75,29320.2
2023-08-11,29426.03,29252.45
2023-08-12,29430.17,29381.56
2023-08-13,29303.84,29272.32
2023-08-14,29430.93,29102.45
2023-08-15,29200.0,29059.6
2023-08-16,28730.51,28723.08
2023-08-17,26623.41,25166.0
2023-08-18,26054.0,25619.0
2023-08-19,26100.01,25801.09
2023-08-20,26189.99,25971.05
2023-08-21,26126.92,25812.0
2023-08-22,26056.0,25300.0
2023-08-23,26432.72,25812.82
2023-08-24,26180.05,25864.0
2023-08-25,26060.01,25777.15
2023-08-26,26017.37,25985.92
2023-08-27,26101.77,25966.11
2023-08-28,26120.0,25864.5
2023-08-29,27716.34,25922.0
2023-08-30,27299.99,27017.24
2023-08-31,25940.78,25655.01
2023-09-01,25805.05,25333.75
2023-09-02,25869.51,25752.47
2023-09-03,25971.21,25800.0
2023-09-04,25826.02,25631.21
2023-09-05,25792.1,25562.62
2023-09-06,25759.95,25372.51
2023-09-07,26255.0,25615.38
2023-09-08,25910.5,25647.26
2023-09-09,25901.61,25796.64
2023-09-10,25841.61,25570.57
2023-09-11,25162.52,24901.0
2023-09-12,25840.1,25131.48
2023-09-13,26222.0,25764.17
2023-09-14,26522.73,26126.77
2023-09-15,26600.0,26224.0
2023-09-16,26559.67,26445.0
2023-09-17,26527.51,26399.0
2023-09-18,26762.51,26377.35
2023-09-19,27210.26,26667.79
2023-09-20,27125.0,26800.0
2023-09-21,26568.08,26377.7
2023-09-22,26580.14,26468.77
2023-09-23,26575.96,26509.0
2023-09-24,26248.38,26122.08
2023-09-25,26304.81,25990.46
2023-09-26,26221.67,26088.34
2023-09-27,26372.99,26112.06
2023-09-28,27021.39,26342.4
2023-09-29,26906.96,26665.16
2023-09-30,26962.56,26886.31
2023-10-01,27992.57,26954.09
2023-10-02,27494.51,27281.44
2023-10-03,27426.46,27160.5
2023-10-04,27778.57,27202.0
2023-10-05,27410.39,27352.0
2023-10-06,27931.09,27175.94
2023-10-07,27956.67,27842.08
2023-10-08,27917.05,27687.5
2023-10-09,27590.12,27260.0
2023-10-10,27390.12,27298.0
2023-10-11,26875.52,26538.66
2023-10-12,26759.63,26555.0
2023-10-13,26862.0,26685.0
2023-10-14,26852.48,26789.0
2023-10-15,27154.15,26808.25
2023-10-16,28500.78,27112.66
2023-10-17,28395.91,28069.32
2023-10-18,28320.0,28142.87
2023-10-19,28713.71,28100.66
2023-10-20,29669.04,28578.29
2023-10-21,29909.8,29464.77
2023-10-22,29992.46,29640.0
2023-10-23,33069.99,29883.6
2023-10-24,33922.73,32832.34
2023-10-25,34496.05,33679.05
2023-10-26,34151.66,33751.0
2023-10-27,33892.02,33390.95
2023-10-28,34081.0,33860.0
2023-10-29,34525.89,33930.0
2023-10-30,34474.73,34062.84
2023-10-31,34639.77,34025.0
2023-11-01,35421.43,34097.39
2023-11-02,34941.59,34300.0
2023-11-03,34716.78,34120.0
2023-11-04,35062.07,34585.18
2023-11-05,35011.88,34448.0
2023-11-06,35046.09,34725.9
2023-11-07,35399.12,34523.06
2023-11-08,35624.72,35100.0
2023-11-09,36701.09,35534.05
2023-11-10,37301.63,36324.71
2023-11-11,37130.0,36666.93
2023-11-12,37064.13,36731.1
2023-11-13,36462.93,36333.0
2023-11-14,35551.19,34800.0
2023-11-15,37858.2,35360.0
2023-11-16,36163.51,35500.0
2023-11-17,36613.92,35861.1
2023-11-18,36568.1,36178.58
2023-11-19,37359.86,36384.02
2023-11-20,37448.78,36677.0
2023-11-21,35741.65,35735.0
2023-11-22,37408.34,35632.01
2023-11-23,37294.28,36870.0
2023-11-24,37713.57,37251.51
2023-11-25,37780.67,37591.1
2023-11-26,37447.43,37150.0
2023-11-27,37242.7,36707.0
2023-11-28,37818.87,36868.41
2023-11-29,37854.64,37570.0
2023-11-30,37723.96,37500.0
2023-12-01,38682.52,37615.86
2023-12-02,39450.35,38641.61
2023-12-03,39972.26,39274.86
2023-12-04,41991.1,39972.26
2023-12-05,44073.32,41414.0
2023-12-06,43762.69,43335.28
2023-12-07,43273.14,42821.1
2023-12-08,44170.99,43081.1
2023-12-09,43713.6,43584.51
2023-12-10,43789.51,43563.0
2023-12-11,41253.4,40222.0
2023-12-12,41492.39,40680.0
2023-12-13,42869.03,40555.0
2023-12-14,43022.26,41400.0
2023-12-15,41940.3,41666.0
2023-12-16,42278.03,41605.0
2023-12-17,41374.65,41252.0
2023-12-18,42657.8,40542.93
2023-12-19,42275.99,41811.1
2023-12-20,43668.93,42206.0
2023-12-21,43861.8,43286.72
2023-12-22,43969.04,43412.54
2023-12-23,43702.16,43291.1
2023-12-24,42991.5,42500.0
2023-12-25,43576.13,42720.43
2023-12-26,42508.93,41637.6
2023-12-27,43428.85,42098.69
2023-12-28,42563.76,42241.79
2023-12-29,42066.95,41300.0
2023-12-30,42140.28,41520.3
2023-12-31,42283.58,41965.84
2024-01-01,44179.55,42180.77
2024-01-02,44946.91,44148.34
2024-01-03,42845.23,40750.0
2024-01-04,44151.1,42613.77
2024-01-05,44145.11,42450.0
2024-01-06,43968.32,43397.05
2024-01-07,43929.02,43572.09
2024-01-08,46951.04,43175.0
2024-01-09,46110.0,44748.67
2024-01-10,46653.99,44300.36
2024-01-11,46339.16,45606.06
2024-01-12,42782.73,41500.0
2024-01-13,42847.99,42436.12
2024-01-14,41732.35,41720.0
2024-01-15,42511.1,41718.05
2024-01-16,43137.95,42050.0
2024-01-17,42776.1,42200.69
2024-01-18,41327.5,40683.28
2024-01-19,41659.03,40280.0
2024-01-20,41696.04,41456.3
2024-01-21,41580.33,41500.98
2024-01-22,39568.02,39431.58
2024-01-23,39897.6,38555.0
2024-01-24,40084.88,39484.19
2024-01-25,39961.09,39550.0
2024-01-26,41823.51,39822.52
2024-01-27,42120.63,41394.34
2024-01-28,42031.06,41620.81
2024-01-29,43302.7,41804.88
2024-01-30,42941.1,42683.99
2024-01-31,42580.0,42276.84
2024-02-01,43082.94,41884.28
